pa_id,game_id,inning_half,inning,offense_team,batter,pitcher,outcome,hit_type,pa_flag,ab_flag,hit_flag,walk_flag,hbp_flag,k_flag,pitches_in_pa,swings_in_pa,whiffs_in_pa,contacts_in_pa,is_first_pitch_swing,is_first_pitch_strike,is_first_pitch_in_play,two_strike_swings,two_strike_whiffs,two_strike_contacts,two_strike_pa_flag,outs_before,outs_on_pa,risp_flag,two_out_flag,runner_adv_or_score_flag,rbi_flag,batted_ball_pos,spray_x,spray_y
1,Crossroads_3_2_26,Bottom,6,Crossroads Christian,E Smith,Unknown,Fly Out,,1,1,0,0,0,0,5,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,2B,15.000,135.000
2,Crossroads_3_2_26,Bottom,6,Crossroads Christian,C Paschall,Unknown,Fielder's Choice,,1,1,0,0,0,0,4,3,2,1,1,1,0,1,0,1,1,1,1,0,0,1,0,SS,-15.000,135.000
3,Crossroads_3_2_26,Bottom,6,Crossroads Christian,T Taylor,Unknown,Single,Single,1,1,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,2,1,1,1,0,0,2B,15.000,135.000
4,Crossroads_3_2_26,Bottom,6,Crossroads Christian,B Reagle,R Johnston,Walk,,1,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,,,
5,Crossroads_3_2_26,Top,6,East Wake Academy Varsity Eagles,E Mason,W Anderson,Strikeout,,1,1,0,0,0,1,6,2,1,1,0,1,0,2,1,1,1,0,1,0,0,0,0,,,
6,Crossroads_3_2_26,Top,6,East Wake Academy Varsity Eagles,R Johnston,W Anderson,Single,Single,1,1,1,0,0,0,4,2,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,3B,-70.000,100.000
7,Crossroads_3_2_26,Top,6,East Wake Academy Varsity Eagles,D Benton,W Anderson,Fielder's Choice,,1,1,0,0,0,0,3,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1B,70.000,100.000
8,Crossroads_3_2_26,Top,6,East Wake Academy Varsity Eagles,L Collier,W Anderson,Walk,,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,,,
9,Crossroads_3_2_26,Top,6,East Wake Academy Varsity Eagles,J Bailey,W Anderson,Fielder's Choice,,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,1B,70.000,100.000
10,Crossroads_3_2_26,Top,6,East Wake Academy Varsity Eagles,C Mason,W Anderson,Hit By Pitch,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,,,
11,Crossroads_3_2_26,Bottom,5,Crossroads Christian,J Douglas,R Johnston,Strikeout,,1,1,0,0,0,1,6,2,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,,,
12,Crossroads_3_2_26,Bottom,5,Crossroads Christian,R Wilson,R Johnston,Walk,,1,0,0,1,0,0,6,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,,,
13,Crossroads_3_2_26,Bottom,5,Crossroads Christian,A Smith,R Johnston,Walk,,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,,,
14,Crossroads_3_2_26,Bottom,5,Crossroads Christian,T Wilson,R Johnston,Sacrifice Fly,,1,0,0,0,0,0,2,2,0,2,1,1,0,0,0,0,0,1,1,1,0,1,1,LF,-140.000,235.000
15,Crossroads_3_2_26,Bottom,5,Crossroads Christian,B Adcock,R Johnston,Hit By Pitch,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,,,
16,Crossroads_3_2_26,Bottom,5,Crossroads Christian,E Smith,R Johnston,Fielder's Choice,,1,1,0,0,0,0,4,1,0,1,0,1,0,1,0,1,1,2,0,1,1,1,0,2B,15.000,135.000
17,Crossroads_3_2_26,Bottom,5,Crossroads Christian,C Paschall,R Johnston,Walk,,1,0,0,1,0,0,7,2,1,1,0,0,0,1,0,1,1,2,0,1,1,0,0,,,
18,Crossroads_3_2_26,Bottom,5,Crossroads Christian,T Taylor,R Johnston,Strikeout,,1,1,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,,,
19,Crossroads_3_2_26,Top,5,East Wake Academy Varsity Eagles,N Rodriguez,W Anderson,Fly Out,,1,1,0,0,0,0,5,2,0,2,0,1,0,1,0,1,1,0,1,0,0,0,0,CF,0.000,265.000
